octave,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,event,tap_types,tap_times,release_times,tone_times,subject,handedness,experiment,version,
,,SPR,0,-1,-1,0,SPR,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","[43597, 44138, 44687, 45223, 45697, 46228, 46806, 47351, 47890, 48403, 48939, 49456, 49970, 50493, 51003, 51542, 52105, 52636, 53191, 53694, 54264, 54817, 55367, 55889, 56397, 56935, 57407, 57897, 58398, 58905]","[43776, 44289, 44877, 45409, 45923, 46474, 47066, 47580, 48159, 48700, 49176, 49726, 50259, 50765, 51221, 51840, 52401, 52932, 53455, 53958, 54502, 55041, 55630, 56125, 56609, 57168, 57674, 58137, 58650, 59165]",,30,R,ITM,1.1,
3,500,practice,0,0,0,0,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[112356, 112913, 113388, 113870, 114373, 114890, 115388, 115883, 116299, 116682, 117014, 117346, 117629, 117899, 118144, 138986, 142044, 142582, 142986, 143428, 143742, 144007, 144373, 144700, 145027]","[112424, 113010, 113499, 113979, 114473, 114989, 115488, 115971, 116386, 116790, 117134, 117438, 117733, 117988, 118219, 139106, 142146, 142722, 143132, 143576, 143854, 144112, 144475, 144844, 145145]","[111970, 112471, 112970, 113470, 113970, 114470, 114970, 115470, 115908, 116325, 116708, 117040, 117371, 117655, 117924, 139012, 142069, 142608, 143011, 143454, 143768, 144399, 144726, 145052]",30,R,ITM,1.1,
6,500,practice,0,1,1,1,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[150917, 151318, 151815, 152290, 152832, 153322, 153834, 154314, 154820, 155297, 155789, 156273, 156755, 157230, 157698, 158174, 158664, 159130, 159619, 160107, 160581, 161073, 161573]","[151010, 151448, 151938, 152455, 152971, 153458, 153999, 154533, 155040, 155521, 156014, 156488, 156957, 157426, 157886, 158388, 158905, 159355, 159820, 160350, 160821, 161326, 161793]","[150403, 150902, 151402, 151902, 152402, 152902, 153402, 153903, 154341, 154847, 155324, 155815, 156300, 156782, 157256, 157725, 158200, 158691, 159157, 159645, 160134, 160608, 161099, 161600]",30,R,ITM,1.1,
5,500,practice,0,2,2,2,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[167988, 168478, 169019, 169517, 170054, 170562, 171054, 171521, 171997, 172470, 172939, 173381, 173883, 174353, 174824, 175318, 175822, 176275, 176756, 177211, 177678, 178113]","[168136, 168640, 169147, 169655, 170176, 170690, 171185, 171659, 172133, 172590, 173074, 173554, 174061, 174500, 174990, 175496, 176017, 176485, 176965, 177384, 177821, 178252]","[167112, 167611, 168112, 168611, 169111, 169611, 170112, 170611, 171079, 171547, 172023, 172495, 172964, 173407, 173908, 174379, 174850, 175344, 175849, 176301, 176783, 177236, 177703, 178139]",30,R,ITM,1.1,
4,500,practice,0,3,3,3,practice,"['S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[185104, 185631, 186159, 186656, 187126, 187618, 188146, 188621, 189101, 189622, 190143, 190631, 191117, 191594, 192096, 192583, 193052, 193541, 194020, 194484, 194959]","[185235, 185758, 186267, 186768, 187234, 187723, 188268, 188765, 189250, 189748, 190332, 190803, 191261, 191742, 192223, 192743, 193225, 193703, 194178, 194643, 195146]","[183721, 184220, 184720, 185221, 185720, 186220, 186720, 187220, 187644, 188172, 188647, 189126, 189648, 190169, 190657, 191142, 191620, 192121, 192609, 193078, 193566, 194045, 194509, 194984]",30,R,ITM,1.1,
7,500,practice,0,4,4,4,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[201441, 202019, 202525, 203077, 203565, 204041, 204537, 205032, 205519, 206047, 206531, 207000, 207478, 208009, 208490, 208991, 209444, 209946, 210449, 210939, 211449, 211997]","[201577, 202132, 202674, 203197, 203706, 204224, 204701, 205217, 205742, 206258, 206776, 207186, 207676, 208193, 208739, 209244, 209690, 210210, 210691, 211209, 211683, 212190]","[200578, 201076, 201576, 202077, 202576, 203076, 203576, 204077, 204564, 205059, 205546, 206074, 206558, 207027, 207505, 208035, 208518, 209017, 209472, 209973, 210476, 210967, 211476, 212024]",30,R,ITM,1.1,
2,500,practice,0,5,5,5,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[218380, 218936, 219449, 219963, 220462, 220974, 221473, 221956, 222454, 222938, 223411, 223922, 224384, 224846, 225328, 225825, 226311, 226808, 227303, 227757, 228289, 228773]","[218542, 219090, 219624, 220086, 220554, 221044, 221571, 222066, 222570, 223045, 223515, 224039, 224506, 224988, 225480, 225952, 226447, 226949, 227418, 227890, 228418, 228930]","[217506, 218006, 218506, 219006, 219506, 220005, 220506, 221006, 221501, 221982, 222482, 222965, 223437, 223948, 224410, 224873, 225355, 225853, 226338, 226835, 227330, 227783, 228317, 228800]",30,R,ITM,1.1,
7,400,trial,0,6,6,6,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[263468, 263868, 264250, 264983, 265411, 265788, 266184, 266551, 266945, 267328, 267727, 268144, 268553, 268943, 269336, 269704, 270054, 270442, 270820, 271205, 271660, 272048]","[263587, 263994, 264369, 265102, 265533, 265930, 266319, 266690, 267085, 267486, 267913, 268311, 268725, 269082, 269452, 269818, 270198, 270565, 270941, 271337, 271761, 272181]","[263084, 263482, 263882, 264283, 264682, 265082, 265482, 265882, 266211, 266577, 266973, 267356, 267755, 268171, 268580, 268969, 269363, 269731, 270082, 270469, 270848, 271232, 271686, 272075]",30,R,ITM,1.1,
4,600,trial,0,7,7,7,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[278116, 278861, 279622, 280219, 280728, 281342, 281894, 282526, 283112, 283705, 284305, 284879, 285467, 286103, 286699, 287276, 287904, 288466, 289074, 289684, 290299, 290886, 291468]","[278225, 278958, 279708, 280271, 280852, 281470, 282046, 282671, 283260, 283872, 284450, 285028, 285572, 286272, 286894, 287489, 288105, 288668, 289316, 289909, 290509, 291100, 291703]","[277795, 278394, 278994, 279595, 280195, 280795, 281394, 281994, 282552, 283138, 283730, 284331, 284905, 285494, 286130, 286726, 287301, 287930, 288492, 289099, 289710, 290325, 290912, 291493]",30,R,ITM,1.1,
7,400,trial,0,8,8,8,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[297687, 298102, 298496, 298899, 299335, 299766, 300121, 300469, 300845, 301178, 301551, 301907, 302271, 302624, 302969, 303312, 303620, 303968, 304309, 304669, 305050, 305426]","[297800, 298217, 298614, 299028, 299418, 299854, 300213, 300596, 300935, 301312, 301665, 302041, 302396, 302757, 303105, 303444, 303768, 304123, 304456, 304819, 305215, 305561]","[296986, 297387, 297786, 298186, 298587, 298986, 299386, 299786, 300147, 300495, 300871, 301206, 301579, 301934, 302298, 302651, 302996, 303339, 303647, 303995, 304336, 304697, 305077, 305453]",30,R,ITM,1.1,
