octave,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,tap_types,tap_times,release_times,tone_times,subject,handedness,experiment,version
,,SPR,0,-1,-1,0,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","[50959, 51931, 52419, 52886, 53590, 54256, 54822, 55486, 56352, 57042, 57658, 58437, 59036, 59634, 60280, 60938, 61543, 62520, 63009, 63377, 63827, 64241, 64744, 65332, 65751, 66166, 66691, 67222, 67760, 68344]","[51723, 52014, 52515, 53039, 53688, 54390, 54956, 55627, 56540, 57206, 57830, 58545, 59159, 59754, 60403, 61032, 61671, 62627, 63090, 63452, 63920, 64319, 64822, 65397, 65831, 66320, 66841, 67421, 67939, 68541]",,8,R,ITM,1.1
7,500,practice,0,0,0,0,"['B', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[144462, 145099, 145587, 146033, 146476, 146936, 147424, 147912, 148391, 148834, 149212, 149476, 150603, 151071, 151473, 151854, 152248, 152603, 152932, 153317, 153617, 153917, 154177, 156254, 156610, 156951]","[144503, 145192, 145676, 146124, 146564, 147045, 147536, 148015, 148505, 148943, 149314, 149578, 150692, 151197, 151575, 151957, 152341, 152687, 153021, 153393, 153697, 153985, 154243, 156362, 156734, 157049]","[144476, 144974, 145474, 145974, 146475, 146974, 147474, 147975, 148419, 148861, 149238, 150630, 151098, 151499, 151881, 152275, 152631, 152958, 153344, 153645, 153945, 156280, 156637, 156979]",8,R,ITM,1.1
3,500,practice,0,1,1,1,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[162804, 163366, 163899, 164429, 164898, 165397, 165859, 166421, 166876, 167351, 167841, 168310, 168806, 169349, 169824, 170297, 170767, 171247, 171800, 172297, 172830, 173343, 173884]","[162912, 163480, 163986, 164539, 165002, 165490, 165947, 166502, 166967, 167439, 167909, 168404, 168887, 169419, 169903, 170376, 170863, 171338, 171880, 172380, 172907, 173440, 173976]","[162467, 162966, 163466, 163966, 164466, 164966, 165467, 165966, 166447, 166901, 167376, 167867, 168336, 168832, 169374, 169849, 170322, 170792, 171273, 171826, 172322, 172856, 173369, 173910]",8,R,ITM,1.1
5,500,practice,0,2,2,2,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[179495, 179963, 180424, 180891, 181371, 181858, 182342, 182841, 183354, 183878, 184413, 184981, 185519, 186067, 186645, 187228, 187805, 188394, 188971, 189589, 190070, 190897, 191795, 192412]","[179559, 180030, 180494, 180958, 181444, 181926, 182424, 182907, 183425, 183947, 184494, 185055, 185623, 186160, 186744, 187302, 187914, 188485, 189089, 189674, 190208, 190985, 191864, 192518]","[179356, 179855, 180356, 180855, 181355, 181855, 182355, 182855, 183380, 183905, 184438, 185008, 185545, 186094, 186672, 187253, 187831, 188420, 188996, 189616, 190096, 190922, 191820, 192438]",8,R,ITM,1.1
2,500,practice,0,3,3,3,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[198579, 199206, 199750, 200253, 200972, 201519, 202090, 202670, 203248, 203848, 204428, 204960, 205571, 206157, 206726, 207289, 207842, 208486, 209034, 209655, 210285, 210968]","[198686, 199290, 199852, 200401, 201083, 201661, 202192, 202765, 203339, 203940, 204524, 205068, 205688, 206232, 206800, 207401, 207974, 208591, 209169, 209780, 210364, 211089]","[198078, 198578, 199078, 199578, 200078, 200578, 201077, 201578, 202118, 202696, 203276, 203876, 204454, 204988, 205598, 206184, 206753, 207316, 207868, 208513, 209061, 209682, 210313, 210996]",8,R,ITM,1.1
4,500,practice,0,4,4,4,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[216570, 217071, 217604, 218280, 218853, 219464, 220152, 220840, 221395, 221977, 222544, 223192, 223762, 224366, 224953, 225492, 226184, 226750, 227321, 227857, 228408, 228957]","[216638, 217163, 217746, 218351, 218996, 219573, 220269, 220972, 221496, 222078, 222617, 223281, 223864, 224506, 225047, 225647, 226269, 226868, 227386, 227928, 228496, 229049]","[216411, 216909, 217409, 217909, 218409, 218909, 219409, 219910, 220178, 220866, 221421, 222003, 222570, 223217, 223788, 224392, 224978, 225518, 226209, 226776, 227347, 227883, 228433, 228982]",8,R,ITM,1.1
6,500,practice,0,5,5,5,"['B', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[234436, 234907, 235448, 236106, 236598, 237288, 237857, 238425, 239089, 239595, 240175, 240734, 241335, 241868, 242462, 242965, 243522, 244101, 244648, 245203, 245723, 246429, 246898]","[234476, 235125, 235572, 236199, 236775, 237390, 237991, 238541, 239186, 239712, 240263, 240822, 241421, 241994, 242555, 243065, 243601, 244230, 244747, 245297, 245843, 246513, 247043]","[234449, 234948, 235448, 235949, 236448, 236948, 237448, 237948, 238451, 239116, 239623, 240201, 240760, 241361, 241895, 242489, 242993, 243550, 244127, 244676, 245230, 245749, 246457, 246926]",8,R,ITM,1.1
6,400,trial,0,6,6,6,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[293712, 294128, 294577, 295057, 295440, 295967, 296509, 296958, 297432, 297883, 298395, 298919, 299449, 300002, 300479, 301020, 301544, 302076, 302623, 303140, 303604, 304097]","[293790, 294228, 294663, 295149, 295533, 296081, 296616, 297069, 297538, 297968, 298461, 299012, 299524, 300072, 300565, 301077, 301614, 302144, 302686, 303223, 303706, 304192]","[293349, 293748, 294149, 294548, 294948, 295348, 295748, 296148, 296537, 296984, 297458, 297910, 298423, 298947, 299475, 300029, 300507, 301046, 301571, 302103, 302650, 303168, 303632, 304123]",8,R,ITM,1.1
2,400,trial,0,7,7,7,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[310286, 310711, 311171, 311582, 312006, 312428, 313012, 313422, 313901, 314327, 314815, 315239, 315731, 316230, 316695, 317202, 317666, 318148, 318661, 319142, 319646, 320149]","[310369, 310796, 311259, 311663, 312091, 312541, 313101, 313548, 313995, 314406, 314890, 315299, 315795, 316295, 316768, 317268, 317734, 318209, 318721, 319218, 319732, 320240]","[309886, 310285, 310686, 311086, 311486, 311886, 312287, 312687, 313038, 313449, 313927, 314353, 314842, 315267, 315759, 316257, 316722, 317229, 317692, 318176, 318688, 319169, 319674, 320177]",8,R,ITM,1.1
3,600,trial,0,8,8,8,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[326161, 326807, 327569, 328333, 328708, 329400, 329913, 330508, 331128, 331716, 332380, 333096, 333737, 334337, 334942, 335560, 336186, 336781, 337437, 338093, 338658, 339244, 339871]","[326244, 326909, 327643, 328391, 328817, 329484, 330007, 330615, 331206, 331812, 332450, 333160, 333821, 334403, 335012, 335650, 336293, 336848, 337522, 338165, 338771, 339347, 339954]","[325843, 326443, 327043, 327643, 328242, 328842, 329442, 330042, 330533, 331154, 331742, 332405, 333122, 333762, 334362, 334967, 335586, 336211, 336806, 337463, 338118, 338683, 339269, 339897]",8,R,ITM,1.1
