pitch,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,event,tap_types,tap_times,release_times,peak_pressures,peak_times,tone_times,subject,experimenter,register,handedness,experiment,version,
,,SPR,0,-1,-1,0,SPR,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","[34811, 35442, 36067, 36672, 37263, 37861, 38479, 39077, 39659, 40270, 40892, 41486, 42099, 42691, 43336, 43945, 44527, 45116, 45671, 46305, 46903, 47482, 48050, 48656, 49265, 49873, 50479, 51020, 51648, 52238]","[34852, 35464, 36094, 36701, 37294, 37931, 38555, 39134, 39736, 40346, 40965, 41570, 42159, 42766, 43423, 44008, 44601, 45200, 45765, 46377, 46973, 47559, 48126, 48723, 49337, 49928, 50539, 51127, 51718, 52316]","[148, 141, 169, 185, 206, 245, 20, 15, 19, 250, 15, 26, 36, 30, 56, 41, 59, 239, 46, 55, 44, 58, 44, 46, 51, 51, 58, 66, 52, 60]","[34816, 35445, 36071, 36675, 37266, 37863, 38482, 39079, 39662, 40273, 40894, 41488, 42102, 42693, 43338, 43948, 44529, 45119, 45674, 46307, 46905, 47485, 48052, 48658, 49268, 49875, 50481, 51022, 51650, 52240]",,57,SB,U,R,ITMSR,1.0,
1,500,practice,0,0,0,0,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[120949, 121417, 121933, 122443, 122921, 123415, 123955, 124390, 124822, 125222, 125628, 126010, 126397, 126809, 127204, 127622, 128016, 128386, 128769, 129191, 129602, 129999]","[121024, 121516, 122021, 122523, 123011, 123506, 124038, 124488, 124920, 125310, 125730, 126103, 126489, 126891, 127280, 127691, 128103, 128491, 128869, 129273, 129692, 130094]","[155, 249, 244, 4, 211, 31, 224, 240, 253, 3, 10, 230, 0, 244, 30, 24, 4, 7, 28, 252, 239, 205]","[120955, 121421, 121938, 122447, 122926, 123419, 123959, 124395, 124826, 125225, 125633, 126014, 126401, 126812, 127208, 127626, 128019, 128390, 128772, 129195, 129606, 130003]","[120060, 120559, 121060, 121560, 122059, 122559, 123060, 123559, 123994, 124429, 124861, 125260, 125667, 126049, 126436, 126848, 127243, 127661, 128055, 128424, 128807, 129229, 129641, 130037]",57,SB,U,R,ITMSR,1.0,
4,500,practice,0,1,1,1,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[136749, 137255, 137772, 138248, 138744, 139250, 139740, 140174, 140569, 140943, 141300, 141658, 142007, 142345, 142681, 142997, 143289, 143600, 143894, 144196, 144475, 157933, 158338]","[136847, 137340, 137850, 138332, 138819, 139320, 139807, 140272, 140656, 141031, 141391, 141751, 142098, 142436, 142773, 143092, 143381, 143680, 143980, 144275, 144568, 158003, 158430]","[47, 13, 43, 42, 31, 250, 202, 4, 241, 9, 20, 255, 18, 14, 220, 198, 180, 204, 194, 183, 191, 239, 22]","[136753, 137260, 137776, 138252, 138748, 139255, 139745, 140178, 140573, 140947, 141304, 141662, 142011, 142350, 142686, 143001, 143294, 143604, 143899, 144200, 144480, 157938, 158342]","[135821, 136320, 136819, 137320, 137820, 138319, 138819, 139320, 139781, 140215, 140609, 140984, 141340, 141699, 142048, 142386, 142722, 143038, 143330, 143640, 143935, 144236, 157974, 158379]",57,SB,U,R,ITMSR,1.0,
0,500,practice,0,2,2,2,practice,"['S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[164924, 165517, 166030, 166567, 167049, 167568, 167974, 168337, 168693, 169042, 169382, 169711, 170032, 170358, 170688, 171025, 171363, 171664, 171982, 172308, 172613]","[164944, 165634, 166128, 166646, 167140, 167633, 168058, 168425, 168783, 169134, 169472, 169804, 170113, 170441, 170770, 171115, 171455, 171756, 172070, 172392, 172720]","[158, 34, 63, 72, 253, 21, 26, 66, 62, 48, 255, 220, 207, 2, 214, 251, 231, 228, 27, 248, 238]","[164928, 165522, 166034, 166572, 167054, 167573, 167980, 168341, 168697, 169047, 169388, 169716, 170037, 170363, 170692, 171029, 171367, 171668, 171986, 172313, 172617]","[163740, 164241, 164741, 165240, 165740, 166241, 166740, 167240, 167609, 168014, 168378, 168733, 169082, 169422, 169751, 170073, 170398, 170729, 171066, 171404, 171705, 172022, 172349, 172653]",57,SB,U,R,ITMSR,1.0,
5,500,practice,0,3,3,3,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[179125, 179598, 180093, 180568, 181047, 181561, 182049, 182522, 183009, 183518, 183970, 184506, 184985, 185436, 185946, 186424, 186872, 187352, 187829, 188297, 188777, 189265]","[179177, 179661, 180116, 180617, 181120, 181636, 182135, 182628, 183088, 183577, 184052, 184571, 185062, 185523, 186000, 186482, 186947, 187410, 187883, 188374, 188865, 189348]","[64, 191, 168, 226, 7, 223, 243, 28, 194, 244, 212, 2, 220, 221, 36, 13, 238, 227, 234, 13, 29, 254]","[179130, 179603, 180100, 180573, 181051, 181565, 182053, 182525, 183013, 183522, 183974, 184510, 184989, 185440, 185950, 186428, 186876, 187356, 187833, 188300, 188781, 189270]","[178161, 178661, 179161, 179660, 180160, 180662, 181160, 181661, 182088, 182561, 183049, 183558, 184009, 184546, 185024, 185476, 185986, 186464, 186911, 187392, 187869, 188337, 188817, 189304]",57,SB,U,R,ITMSR,1.0,
3,500,practice,0,4,4,4,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[195774, 196229, 196707, 197226, 197757, 198232, 198699, 199191, 199747, 200225, 200694, 201211, 201652, 202158, 202652, 203150, 203595, 204090, 204582, 205060, 205564, 206040]","[195812, 196312, 196811, 197311, 197814, 198311, 198799, 199291, 199822, 200306, 200788, 201263, 201724, 202227, 202715, 203224, 203688, 204180, 204665, 205164, 205669, 206142]","[235, 177, 173, 176, 96, 107, 175, 211, 209, 178, 207, 210, 252, 210, 222, 181, 212, 224, 236, 250, 39, 207]","[195780, 196233, 196712, 197230, 197763, 198237, 198703, 199195, 199751, 200229, 200697, 201216, 201655, 202162, 202656, 203154, 203599, 204093, 204587, 205064, 205568, 206043]","[194812, 195311, 195812, 196312, 196811, 197311, 197812, 198311, 198738, 199231, 199787, 200263, 200732, 201249, 201691, 202198, 202690, 203190, 203633, 204130, 204620, 205099, 205603, 206078]",57,SB,U,R,ITMSR,1.0,
2,500,practice,0,5,5,5,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[212676, 213158, 213676, 214147, 214675, 215164, 215668, 216153, 216710, 217172, 217694, 218161, 218641, 219118, 219592, 220102, 220549, 221040, 221542, 222011, 222500, 222957]","[212737, 213246, 213780, 214230, 214740, 215234, 215727, 216244, 216759, 217240, 217753, 218218, 218696, 219183, 219632, 220167, 220634, 221122, 221624, 222093, 222587, 223052]","[57, 64, 28, 113, 113, 109, 85, 56, 92, 165, 144, 100, 98, 105, 26, 164, 222, 215, 231, 202, 202, 231]","[212681, 213164, 213682, 214151, 214679, 215169, 215673, 216158, 216714, 217177, 217699, 218166, 218646, 219124, 219599, 220107, 220552, 221044, 221546, 222015, 222504, 222962]","[211779, 212280, 212780, 213279, 213780, 214280, 214779, 215279, 215708, 216194, 216751, 217212, 217735, 218202, 218682, 219158, 219632, 220142, 220590, 221080, 221583, 222052, 222540, 222998]",57,SB,U,R,ITMSR,1.0,
5,400,trial,0,6,6,6,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[255450, 255880, 256306, 256704, 257071, 257469, 257856, 258270, 258611, 259000, 259388, 259794, 260173, 260544, 260952, 261335, 261756, 262145, 262517, 262871, 263316, 263673]","[255539, 255966, 256372, 256729, 257141, 257529, 257925, 258325, 258669, 259067, 259475, 259854, 260245, 260629, 261015, 261412, 261805, 262220, 262588, 262960, 263362, 263737]","[112, 88, 224, 253, 206, 114, 158, 103, 55, 65, 87, 98, 204, 169, 201, 199, 57, 144, 161, 139, 158, 130]","[255454, 255883, 256306, 256704, 257076, 257473, 257861, 258276, 258616, 259007, 259394, 259800, 260178, 260549, 260955, 261339, 261761, 262149, 262521, 262876, 263320, 263678]","[254705, 255106, 255506, 255904, 256305, 256704, 257104, 257505, 257896, 258310, 258651, 259040, 259428, 259833, 260212, 260584, 260992, 261374, 261795, 262184, 262556, 262910, 263356, 263712]",57,SB,U,R,ITMSR,1.0,
5,600,trial,0,7,7,7,trial,"['S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[271764, 272352, 272946, 273544, 274124, 274685, 275237, 275787, 276363, 276909, 277481, 278034, 278569, 279133, 279685, 280206, 280711, 281202, 281808, 282407]","[271845, 272423, 273029, 273626, 274206, 274769, 275326, 275898, 276472, 277004, 277561, 278125, 278679, 279217, 279772, 280309, 280821, 281319, 281913, 282511]","[242, 177, 190, 179, 133, 119, 112, 113, 223, 199, 196, 235, 219, 239, 158, 97, 195, 194, 212, 176]","[271768, 272357, 272952, 273550, 274130, 274692, 275243, 275794, 276368, 276914, 277485, 278038, 278574, 279137, 279689, 280259, 280715, 281206, 281814, 282413]","[269500, 270099, 270699, 271298, 271898, 272498, 273098, 273698, 274163, 274724, 275276, 275826, 276403, 276948, 277521, 278074, 278608, 279173, 279725, 280246, 280751, 281241, 281847, 282446]",57,SB,U,R,ITMSR,1.0,
3,600,trial,0,8,8,8,trial,"['S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[289629, 290194, 290793, 291395, 291975, 292584, 293121, 293707, 294265, 294834, 295344, 295952, 296474, 297038, 297575, 298106, 298660, 299161, 299732, 300299, 300828]","[289728, 290328, 290928, 291503, 292088, 292691, 293263, 293830, 294379, 294926, 295471, 296078, 296608, 297145, 297693, 298242, 298843, 299345, 299914, 300457, 300949]","[143, 102, 183, 181, 66, 117, 145, 145, 177, 209, 153, 39, 141, 107, 68, 225, 1, 252, 7, 163, 234]","[289635, 290269, 290861, 291402, 292034, 292642, 293214, 293787, 294270, 294839, 295351, 296023, 296551, 297044, 297580, 298112, 298665, 299165, 299737, 300406, 300833]","[287930, 288529, 289129, 289728, 290328, 290928, 291528, 292128, 292624, 293159, 293745, 294303, 294874, 295383, 295992, 296513, 297077, 297614, 298145, 298698, 299200, 299770, 300338, 300867]",57,SB,U,R,ITMSR,1.0,
