pitch,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,event,tap_types,tap_times,release_times,peak_pressures,peak_times,tone_times,subject,experimenter,register,handedness,experiment,version
,,SPR,0,-1,-1,0,SPR,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","[16575, 17289, 17982, 18696, 19379, 20067, 20771, 21455, 22117, 22797, 23472, 24122, 24763, 25427, 26081, 26771, 27428, 28106, 28737, 29386, 30044, 30734, 31389, 32047, 32687, 33335, 33969, 34634, 35305, 35955]","[16688, 17374, 18059, 18790, 19484, 20171, 20871, 21549, 22206, 22896, 23572, 24218, 24853, 25516, 26180, 26873, 27540, 28205, 28839, 29483, 30153, 30837, 31486, 32146, 32779, 33448, 34095, 34763, 35425, 36070]","[88, 41, 11, 17, 27, 4, 49, 5, 17, 53, 50, 63, 68, 35, 36, 63, 110, 56, 65, 60, 69, 65, 101, 78, 29, 78, 78, 123, 119, 81]","[16617, 17294, 17987, 18701, 19384, 20108, 20776, 21460, 22121, 22802, 23477, 24126, 24768, 25432, 26086, 26775, 27432, 28110, 28742, 29391, 30082, 30738, 31393, 32051, 32692, 33340, 34033, 34698, 35366, 35959]",,66,EM,L,R,ITMSR,1.1
4,500,practice,0,0,0,0,practice,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[114982, 115525, 116027, 116543, 117046, 117540, 118066, 118525, 119063, 119573, 120064, 120534, 121016, 121470, 121964, 122411]","[115127, 115665, 116178, 116663, 117173, 117669, 118174, 118632, 119180, 119673, 120153, 120668, 121113, 121573, 122055, 122520]","[134, 113, 129, 150, 154, 100, 151, 131, 116, 100, 120, 130, 140, 142, 126, 109]","[114985, 115528, 116030, 116546, 117049, 117609, 118069, 118529, 119066, 119577, 120068, 120537, 121018, 121474, 121967, 122414]","[109835, 110336, 110835, 111335, 111835, 112335, 112835, 113335, 115002, 115545, 116047, 116563, 117066, 117560, 118086, 118545, 119084, 119593, 120084, 120554, 121036, 121490, 121985, 122431]",66,EM,L,R,ITMSR,1.1
0,500,practice,0,1,1,1,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[128534, 129009, 129546, 130039, 130544, 131042, 131548, 132085, 132573, 133055, 133564, 134035, 134525, 135012, 135484, 135992, 136487, 136972, 137468, 137929, 138417, 138873, 139373]","[128613, 129092, 129646, 130150, 130640, 131109, 131629, 132158, 132633, 133123, 133632, 134114, 134618, 135075, 135552, 136070, 136572, 137065, 137570, 138038, 138512, 138999, 139482]","[29, 93, 85, 150, 94, 86, 95, 91, 105, 103, 26, 78, 98, 56, 133, 53, 54, 67, 66, 77, 37, 82, 71]","[128539, 129013, 129549, 130042, 130547, 131046, 131552, 132089, 132577, 133059, 133568, 134039, 134530, 135016, 135487, 135996, 136492, 136976, 137473, 137933, 138422, 138876, 139377]","[128114, 128613, 129113, 129613, 130113, 130613, 131113, 131613, 132105, 132593, 133075, 133584, 134055, 134545, 135032, 135504, 136012, 136507, 136992, 137488, 137949, 138437, 138893, 139394]",66,EM,L,R,ITMSR,1.1
3,500,practice,0,2,2,2,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[144913, 145306, 145680, 146097, 146594, 147108, 147604, 148091, 148587, 149060, 149493, 149906, 150260, 150594, 150917, 151229, 151497, 171639, 172078, 172463, 172862, 173234, 173730, 174126, 174516]","[145007, 145377, 145746, 146159, 146665, 147173, 147665, 148154, 148651, 149132, 149580, 149993, 150362, 150696, 151017, 151308, 151570, 171724, 172146, 172537, 172955, 173320, 173803, 174195, 174598]","[232, 70, 28, 57, 76, 25, 2, 234, 190, 255, 234, 2, 10, 11, 5, 234, 202, 61, 25, 48, 191, 3, 28, 24, 242]","[144954, 145310, 145685, 146103, 146598, 147113, 147609, 148099, 148594, 149065, 149499, 149912, 150307, 150599, 150923, 151236, 151504, 171644, 172082, 172467, 172914, 173239, 173735, 174131, 174522]","[144698, 145198, 145698, 146198, 146698, 147198, 147698, 148198, 148608, 149080, 149513, 149926, 150280, 150615, 150937, 151249, 171659, 172098, 172483, 172882, 173254, 173750, 174146, 174536]",66,EM,L,R,ITMSR,1.1
5,500,practice,0,3,3,3,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[180511, 180877, 181278, 181722, 182228, 182717, 183239, 183721, 184206, 184699, 185149, 185618, 186081, 186511, 186943, 187401, 187855, 188288, 188750, 189178, 189630, 190084, 190528, 190982]","[180580, 180936, 181346, 181797, 182306, 182808, 183330, 183822, 184303, 184793, 185261, 185720, 186196, 186645, 187086, 187536, 187994, 188433, 188870, 189312, 189765, 190210, 190651, 191105]","[4, 41, 52, 48, 57, 32, 12, 3, 13, 4, 23, 26, 41, 68, 46, 32, 26, 35, 35, 48, 50, 26, 1, 248]","[180515, 180882, 181284, 181727, 182234, 182722, 183245, 183775, 184212, 184739, 185209, 185624, 186139, 186580, 187025, 187468, 187923, 188371, 188802, 189248, 189698, 190144, 190590, 191032]","[180318, 180818, 181318, 181818, 182318, 182818, 183318, 183818, 184226, 184719, 185169, 185638, 186101, 186531, 186963, 187421, 187875, 188308, 188770, 189198, 189650, 190104, 190548, 191002]",66,EM,L,R,ITMSR,1.1
2,500,practice,0,4,4,4,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[197093, 197588, 198082, 198554, 199060, 199585, 200088, 200603, 201109, 201590, 202079, 202529, 202952, 203484, 204010, 204462, 204947, 205418, 205860, 206375, 206802, 207320, 207776]","[197180, 197670, 198156, 198635, 199149, 199675, 200182, 200707, 201213, 201693, 202198, 202619, 203088, 203586, 204104, 204568, 205052, 205538, 205962, 206474, 206929, 207446, 207922]","[237, 174, 162, 246, 235, 203, 216, 193, 219, 199, 207, 73, 181, 173, 136, 203, 187, 39, 209, 194, 36, 238, 23]","[197129, 197624, 198090, 198590, 199099, 199620, 200125, 200658, 201162, 201638, 202128, 202568, 203022, 203525, 204039, 204518, 204992, 205489, 205900, 206417, 206883, 207385, 207859]","[196663, 197164, 197663, 198163, 198663, 199163, 199663, 200163, 200623, 201129, 201610, 202099, 202549, 202972, 203504, 204030, 204482, 204967, 205438, 205880, 206395, 206822, 207340, 207796]",66,EM,L,R,ITMSR,1.1
1,500,practice,0,5,5,5,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[213653, 214008, 214436, 214916, 215394, 215891, 216381, 216908, 217406, 217931, 218433, 218923, 219371, 219823, 220347, 220837, 221305, 221790, 222264, 222753, 223197, 223708, 224189, 224601]","[213751, 214087, 214500, 214967, 215467, 215961, 216475, 217001, 217499, 218021, 218524, 219012, 219467, 219950, 220474, 220967, 221448, 221928, 222405, 222886, 223345, 223834, 224315, 224746]","[175, 216, 208, 144, 229, 248, 143, 179, 193, 147, 144, 137, 149, 203, 163, 225, 241, 199, 208, 237, 20, 212, 208, 239]","[213720, 214016, 214443, 214923, 215399, 215897, 216419, 216913, 217412, 217969, 218438, 218929, 219377, 219902, 220406, 220897, 221385, 221870, 222339, 222826, 223277, 223713, 224253, 224677]","[213487, 213987, 214488, 214988, 215488, 215988, 216488, 216988, 217426, 217951, 218454, 218943, 219392, 219843, 220367, 220857, 221325, 221810, 222284, 222773, 223217, 223728, 224209, 224621]",66,EM,L,R,ITMSR,1.1
2,400,trial,0,6,6,6,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[306228, 306596, 306999, 307412, 307792, 308188, 308591, 308996, 309371, 309758, 310176, 310557, 310928, 311325, 311699, 312086, 312466, 312860, 313246, 313638, 314042, 314442, 314843]","[306309, 306667, 307069, 307482, 307881, 308284, 308688, 309083, 309456, 309842, 310252, 310649, 311025, 311382, 311792, 312196, 312565, 312943, 313337, 313732, 314133, 314547, 314926]","[23, 255, 222, 221, 166, 206, 198, 245, 160, 251, 152, 142, 58, 46, 211, 135, 125, 95, 99, 238, 139, 166, 54]","[306274, 306600, 307037, 307447, 307838, 308238, 308634, 309044, 309378, 309765, 310209, 310563, 310974, 311331, 311758, 312092, 312515, 312866, 313252, 313676, 314086, 314509, 314850]","[305796, 306196, 306596, 306996, 307396, 307796, 308196, 308596, 309016, 309391, 309778, 310196, 310577, 310948, 311345, 311719, 312107, 312486, 312880, 313266, 313658, 314062, 314462, 314863]",66,EM,L,R,ITMSR,1.1
5,400,trial,0,7,7,7,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[321346, 321787, 322159, 322549, 322927, 323371, 323750, 324129, 324533, 324909, 325297, 325675, 326063, 326447, 326854, 327211, 327611, 327995, 328370, 328761, 329142, 329552]","[321425, 321844, 322205, 322601, 323007, 323449, 323850, 324204, 324597, 324965, 325358, 325754, 326155, 326533, 326937, 327299, 327713, 328081, 328461, 328854, 329242, 329636]","[175, 160, 115, 54, 48, 184, 20, 213, 118, 208, 183, 89, 73, 41, 255, 25, 71, 51, 100, 106, 55, 90]","[321384, 321794, 322166, 322556, 322969, 323411, 323814, 324161, 324537, 324918, 325306, 325713, 326115, 326480, 326891, 327260, 327660, 328002, 328376, 328811, 329181, 329559]","[320644, 321044, 321444, 321844, 322244, 322644, 323044, 323444, 323770, 324149, 324553, 324929, 325317, 325695, 326083, 326467, 326874, 327231, 327631, 328015, 328390, 328781, 329162, 329572]",66,EM,L,R,ITMSR,1.1
1,600,trial,0,8,8,8,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[336411, 337028, 337647, 338289, 338872, 339465, 340026, 340611, 341167, 341745, 342322, 342912, 343455, 344040, 344621, 345211, 345744, 346312, 346862, 347419, 347965, 348527]","[336491, 337104, 337725, 338368, 338956, 339536, 340110, 340707, 341258, 341829, 342410, 343000, 343545, 344124, 344713, 345298, 345843, 346414, 346966, 347532, 348064, 348625]","[11, 118, 44, 36, 0, 241, 12, 218, 2, 31, 86, 104, 62, 96, 76, 103, 128, 155, 133, 199, 79, 151]","[336447, 337067, 337679, 338296, 338904, 339472, 340061, 340660, 341174, 341752, 342329, 342918, 343497, 344046, 344655, 345219, 345749, 346358, 346910, 347475, 348001, 348533]","[335299, 335899, 336499, 337099, 337699, 338299, 338899, 339500, 340046, 340631, 341187, 341765, 342342, 342932, 343475, 344060, 344641, 345231, 345764, 346332, 346882, 347439, 347985, 348547]",66,EM,L,R,ITMSR,1.1
